imdb_id,title,rating,link,votes,genre,cast,runtime,type,netflix,plot,keywords,release,year,poster,youtube
tt11337862,The One Where They Get Back Together,8.2,https://www.imdb.com/title/tt11337862,43126,"Comedy, Romance","['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",104,Movie,None,"An unscripted Friends reunion special.","tv-special, friend, hbo-max, tv-series-reunion, retrospective, reminiscence, behind-the-scenes",27 May 2021,2021,https://m.media-amazon.com/images/M/MV5BODI0MzdhODAtNDMwNi00NGZlLTg1Y2YtN2M5ZGFmOThkZGM3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,None
tt7069210,The Conjuring: The Devil Made Me Do It,6.4,https://www.imdb.com/title/tt7069210,45194,"Horror, Mystery, Thriller","['Patrick Wilson', 'Vera Farmiga', 'Ruairi O`Connor', 'Sarah Catherine Hook']",112,Movie,None,"The Warrens investigate a murder that may be linked to a demonic possession.","the-conjuring-universe, demon, year-1981, third-part, devil, totem, demonic-possession, satanic-ritual, brookfield-connecticut, satanism, satanist, danvers-massachusetts, soul, totemic-curse, death-totem",04 Jun 2021,2021,https://m.media-amazon.com/images/M/MV5BYzQxMjVkZjEtMDQxYy00MGIwLWE1NjYtYzZkZmU1NTFlZGFlXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,None
tt0993840,Army of the Dead,5.8,https://www.imdb.com/title/tt0993840,118042,"Action, Crime, Horror, Sci-Fi, Thriller","['Dave Bautista', 'Ella Purnell', 'Omari Hardwick', 'Ana de la Reguera']",148,Movie,https://www.netflix.com/title/81046394,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","zombie, heist, apocalypse, grindhouse-film, zombie-bride, casino, tiger, zombie-tiger, reference-to-siegfried-and-roy, speed-ramping, slow-motion-scene, death, group, outbreak, weapon",21 May 2021,2021,https://m.media-amazon.com/images/M/MV5BNGY0NzgzYzctYWQwMC00MzM2LThjNGMtZjFjMWUyNzg0ZmM0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,None
tt10342730,Spiral: From the Book of Saw,5.3,https://www.imdb.com/title/tt10342730,25198,"Crime, Horror, Mystery","['Chris Rock', 'Samuel L. Jackson', 'Max Minghella']",93,Movie,None,"A criminal mastermind unleashes a twisted form of justice in Spiral, the terrifying new chapter from the book of Saw.","gore, violence, police-officer, f-word, female-police-officer-uniformed, saw, horror-icon, body-count, police-procedural, mystery-killings, written-by-star, police-detective, serial-killer, serial-murder, mystery-killer",14 May 2021,2021,https://m.media-amazon.com/images/M/MV5BZjI4ZWQwYzctMGJlMi00OTE1LWFkNjMtY2VlOGQxZmVhNDYyXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,None
tt0293429,Mortal Kombat,6.1,https://www.imdb.com/title/tt0293429,123142,"Action, Adventure, Fantasy","['Lewis Tan', 'Jessica McNamee', 'Josh Lawson']",110,Movie,None,"MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.","based-on-video-game, gore, graphic-violence, reboot, two-word-title, intentionally-misspelled-title, violence, martial-artist, psychotronic-film, sequel-baiting, title-appears-in-writing, ninja, evil-sorcerer, fatality, mortal-kombat",23 Apr 2021,2021,https://m.media-amazon.com/images/M/MV5BY2ZlNWIxODMtN2YwZi00ZjNmLWIyN2UtZTFkYmZkNDQyNTAyXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_SX300.jpg,None
tt9419056,The Unholy,5.0,https://www.imdb.com/title/tt9419056,11429,"Drama, Horror, Mystery","['Jeffrey Dean Morgan', 'Cricket Brown', 'William Sadler']",99,Movie,None,"A hearing-impaired girl is visited by the Virgin Mary and can suddenly hear, speak, and heal the sick. As people flock to witness her miracles, terrifying events unfold. Are they the work of the Virgin Mary or something much more sin","journalist, miracle, virgin-mary, witch, healing, hanging-tree, boston-massachusetts, reference-to-metallica, talisman, cow, motel, reference-to-the-pulitzer-prize, television-news, crying-blood, press-conference",02 Apr 2021,2021,https://m.media-amazon.com/images/M/MV5BYzljZGEyNjYtM2Q0NC00NWFlLWE3NDktYmZjNjg0NDFlNDc4XkEyXkFqcGdeQXVyNDU5MTU4ODU@._V1_SX300.jpg,None
tt5034838,Godzilla vs. Kong,6.4,https://www.imdb.com/title/tt5034838,142675,"Action, Sci-Fi, Thriller","['Alexander Skarsgård', 'Millie Bobby Brown', 'Rebecca Hall', 'Brian Tyree Henry']",113,Movie,None,"The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against one another - the fearsome Godzilla and the mighty Kong - with humanity caught in the balance.","kaiju, monsterverse, giant-monster, monster-versus-monster, godzilla-character, king-kong-character, monster, sequel, versus-in-title, mechagodzilla-character, creature-feature, creature, shared-universe, giant-animal, giant-ape",31 Mar 2021,2021,https://m.media-amazon.com/images/M/MV5BZmYzMzU4NjctNDI0Mi00MGExLWI3ZDQtYzQzYThmYzc2ZmNjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,None
tt9208876,The Falcon and the Winter Soldier,7.5,https://www.imdb.com/title/tt9208876,119516,"Action, Adventure, Drama","['Anthony Mackie', 'Sebastian Stan', 'Wyatt Russell']",50,Series,None,"Following the events of 'Avengers: Endgame,' Sam Wilson/Falcon and Bucky Barnes/Winter Soldier team up in a global adventure that tests their abilities -- and their patience.","marvel-cinematic-universe, mcu, marvel, spin-off, marvel-comics, based-on-comic, based-on-comic-book, superhero, cyborg, shared-universe, disney, disney-plus, disney-marvel, tv-mini-series, two-protagonists",19 Mar 2021,2021,https://m.media-amazon.com/images/M/MV5BODNiODVmYjItM2MyMC00ZWQyLTgyMGYtNzJjMmVmZTY2OTJjXkEyXkFqcGdeQXVyNzk3NDUzNTc@._V1_SX300.jpg,None
tt7888964,Nobody,7.4,https://www.imdb.com/title/tt7888964,106021,"Action, Crime, Drama, Thriller","['Bob Odenkirk', 'Aleksey Serebryakov', 'Connie Nielsen', 'Christopher Lloyd']",92,Movie,None,"A bystander who intervenes to help a woman being harassed by a group of men becomes the target of a vengeful drug lord.","fighting-back, russian-mafia, husband, black-comedy, violence, home-invasion, nightclub, one-man-army, father, secret-identity, action-hero, russian, one-against-many, bus-driver, person-in-car-trunk",26 Mar 2021,2021,https://m.media-amazon.com/images/M/MV5BMjM5YTRlZmUtZGVmYi00ZjE2LWIyNzAtOWVhMDk1MDdkYzhjXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,None
tt12361974,Zack Snyder's Justice League,8.1,https://www.imdb.com/title/tt12361974,308599,"Action, Adventure, Fantasy","['Henry Cavill', 'Ben Affleck', 'Gal Gadot']",242,Movie,None,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.","superhero, extended-version, dc-extended-universe, badass, dc-comics, based-on-comic-book, batman-character, justice-league, comicbook-movie, team, ensemble-cast, recruitment, alien-invasion, atlantis, batcave",18 Mar 2021,2021,https://m.media-amazon.com/images/M/MV5BYjI3NDg0ZTEtMDEwYS00YWMyLThjYjktMTNlM2NmYjc1OGRiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,None
